name,lstm1,lstm2,dense,dropout,rnn,n_params,mean_accuracy,std_accuracy,mean_epochs
gru,64,32,32,0.3,gru,145159,0.9696428571428573,0.019804529475731095,37.0
high_dropout,64,32,32,0.5,lstm,192007,0.9607142857142857,0.02525381361380526,43.75
current,64,32,32,0.3,lstm,192007,0.9598214285714286,0.02472746861451114,46.75
smaller,32,16,16,0.3,lstm,77063,0.9580357142857143,0.03039650809026644,45.375
single_layer,64,0,32,0.3,lstm,152839,0.9446428571428571,0.046940855100338984,43.25
no_dense_head,64,32,0,0.3,lstm,190151,0.9392857142857143,0.056919205180390106,41.5
bigger,128,64,64,0.3,lstm,535559,0.9205357142857142,0.06704756726019373,40.0
